Иконка,Название,Тип урона,Тип оружия и рама,Ролл в PvE,,Ролл в PvP,
,,,,Первый перк,Второй перк,Первый перк,Второй перк
ЗАВАЛА И ДРОПЫ С НАЛЕТОВ,,,,,,,
,Ксенокласт IV,,Облегченный дробовик,"Мародер
Кобура с автоподзарядом
Золотой свинец","Двойной удар
Траншейный ствол","Стрельба в скольжении
Излишки",Убийственный вихрь
,Прибытие короля,,Точная ракетная установка,"Кобура с автоподзарядом
Усилитель импульса",Обойма-сюрприз,Усилитель импульса,"Кассетная бомба
Цепная реакция"
,Третья аксиома,,Адаптивная импульсная винтовка,"Питающая ярость
Излишки
Жизнеобеспечение","Один за всех
Стрекоза
Дестабилизатор","Движущаяся цель
Излишки
Убийственный вихрь","Головорез
Полоса удач"
,Пустой сосуд,,Облегченный гранатомет,"Кобура с автоподзарядом
Честолюбивый ассасин","Диверсант
Стрижающее оружие","Быстрое извлечение
Кобура с автоподзарядом",Дестабилизатор
,Все на выход,,Скорострельный пистолет,"Жизнеобеспечение
Датчик угроз
Переполнение","Безумие
Жажда адреналина
В окружении","На бис
Движущаяся цель
Датчик угроз","Киллерский магазин
Гармония"
,Фортиссимо-11,,Точечный дробовик,"С четвертого раза получится
Диверсант","Стрижающее оружие
Безумие","Датчик угроз
Излишки
Вечное движение","Первый выстрел
Движущаяся цель"
,Мощный свист,,Точный лук,"Реакция лучника
Стреляй-подбирай","Раскаленность
Успешный прогрев
Взрывной наконечник",Реакция лучника,"Успешный прогрев
Жажда адреналина"
,Чистая поэзия,,Агрессивный револьвер,-,,-,
,Затянувшийся бой,,Облегченный пистолет-пулемет,"Питающая ярость
Жизнеобеспечение","Надгробие
Адажио
Один за всех","Компенсатор раскачки
Убийственный вихрь
Разогрев","Захват цели
Адажио
На бис
"
,Безымянная полночь,,Точная винтовка разведчика,"Тройной выстрел
Не подходить","Фугасный снаряд
Кинетическая дрожь","Постижение дзен
Не подходить",Киллерский магазин
,Позитивный настрой,,Точный автомат,"Характеристики для всех
Честолюбивый ассасин","Дестабилизирующие боерипасы
Стрекоза
Идеальный треугольник","Постижение дзен
Компенсатор раскачки
Палец на спуске","Киллерский магазин
Идеальный треугольник"
,Лунный реголит III,,Агрессивная снайперская винтовка,"Тройной выстрел
Обойма-сюрприз","Линия огня
Высокая точка",Быстрый прицел,"Первый выстрел
Движущаяся цель"
,Палка о двух концах,,Адаптивный меч,"Град ударов
Диверсант
Отталкивающая связь","В окружении
Клинковый вихрь
Дестаб. боеприпасы",-,
,Зарождение легенды,,Точный автомат,"Диверсант
Стратег
Сферы истощения","Штурм
Кинетическая дрожь
Высокая точка","Постижение дзен
Компенсатор раскачки
Хрупкая концентрация","Захват цели
Штурм
Рубака"
,,,,,,,
СУМРАЧНЫЕ НАЛЕТЫ,,,,,,,
АКТУАЛЬНЫЙ ЛУТ,,,,,,,
,Узуме RR4,,Адаптивная снайперская винтовка,"С четвертого раза получится
Обойма-сюрприз
Золотой свинец","Точный инструмент
Стрижающее оружие","Быстрый прицел
Раздор","Фугасный снаряд
Стрижающее оружие"
,Подводное течение,,Волновой гранатомет,"Диверсант
Золотой свинец","Электрозаряд
Один за всех",-,
,Правило надзирателя,,Мощный револьвер,"С четвертого раза получится
Диверсант
Вечное движение","Стрижающее оружие
Безумие
Жажда адреналина","Движущаяся цель
Через боль
Вечное движение","Постижение дзен
Киллерский магазин"
,Предшественник Астианатка IV,,Точный лук,"Реакция лучника
Стреляй-подбирай","Гамбит лучника
Раскаленность
Взрывной наконечник",Реакция лучника,"Успешный прогрев
Гамбит лучника"
,Дикий стиль,,Двойной гранатомет,Восстановление,Смертоносная приманка,-,
,Рубитель,,Вихревой меч,"Резвый клинок
Град ударов
Сферы истощения","Холодная сталь
Диверсант
Смертоносная приманка",Резвый клинок,Диверсант
,Мерцание,,Адаптивная линейно-плазменная винтовка,"Запас патронов
Завистливый ассасин
Кобура с автоподзарядом","Смертоносная приманка
В окружении
Заряженный залп",Быстрый удар,Детеныш
,Цена тени,,Точный автомат,"Стратег
Характеристики для всех","Электрозаряд
Один за всех
Диверсант",Излишки,"Диверсант
Не щадя живота"
ФОКУСИРОВКА СТАРОГО ЛУТА,,,,,,,
,Смерть с небес,,Адаптивный револьвер,"Изгой
Вечное движение","Задержка взрыва
Полоса удач","Хрупкая концентрация
Вечное движение","Первый выстрел
Задержка взрыва"
,Малый ужас,,Скорострельная импульсная винтовка,Вечное движение,"Безумие
Киллерский магазин","Постижение дзен
Разогрев
Вечное движение",Киллерский магазин
,Служебный долг,,Адаптивный автомат,"Характеристики для всех
Тройной выстрел","Один за всех
С четвертого раза получится
Безумие","Постижение дзен
Вечное движение",Компенсатор раскачки
,Силиконовая неврома,,Агрессивная снайперская винтовка,Тройной выстрел,"Линия огня
Сосредоточенная ярость","Быстрый прицел
Устойчивая изготовка",Первый выстрел
,БЛОК ОДИН.1,,Точная плазменная винтовка,"Адаптивные боеприпасы
Одержимость перезарядкой
Питающая ярость","Заряженный залп
Успешный прогрев","Под давлением
Убийственный вихрь
Разогрев","Успешный прогрев
Стартовый импульс"
,Комик,,Агрессивный дробовик,"Золотой свинец
Жизнеобеспечение","Траншейный ствол
Стрижающее оружие",Твердые руки,Жажда адреналина
,Забияка,,Адаптивная ракетная установка,"Кобура с автоподзарядом
Диверсант","Взрывной Свет
Обойма-сюрприз
Стрижающее оружие",Модуль слежения,Молотьба
,Замысел Покорителя разума,,Агрессивный дробовик,Кулачный бой,"Двойной удар
Стрижающее оружие","Датчик угроз
Стремительный уход","Твердые руки
Рубака
Стрижающее оружие"
,Дружинное право,,Облегченный гранатомет,"Честолюбивый ассасин
Стремительный уход
Золотой свинец","Кобура с автоподзарядом
Безумие",Стремительный уход,Кобура с автоподзарядом
,"""Присяжные в тупике"" SR4",,Точная винтовка разведчика,"Быстрый удар
Стреляй-подбирай","Кинетическая дрожь
Светлячок
Безумие","Излишки
Быстрый удар
Концентрация","Размеренное дыхание
Адажио"
,Вендиго GL3,,Адаптивный гранатомет,"Кобура с автоподзарядом
Обойма-сюрприз","Взрывной Свет
Быстрая стрельба","Усилитель импульса
Цепная реакция",Полный состав
