"В этом разделе могут быть ошибки в списке пушек, так как мировой лут пул обновляется в каждом сезоне, а конкретный список пушек мирового лут пула отсутствует. Приходится находить все самому",,,,,
,,,,,
,,,,,
,,,,,
Иконка,Название,Тип урона,Тип оружия и рама,Ролл в PvE,Ролл в PvP
,Космическая скорость,,Облегченный пистолет-пулемет,Переполнение - В окружении/Стрижающее оружие,-
,Временной пик,,Адаптивная плазменная винтовка,-,Устойчивая изготовка - Стихийный конденсатор/Дестабилизатор
,"Винтовка ""Цзян 7""",,Адаптивная импульсная винтовка,Дестабилизатор - Полоса удач/Рубака/Изгой,Система автоспуска - Дальномер/Изгой
,Далекий курган,,Скорострельная снайперская винтовка,Обойма-сюрприз - Линия огня,-
,Интервенция VI,,Адаптивный силовой гранатомет,Кобура с автоподзарядом/Тактическая подготовка/Обойма-сюрприз - Полный состав,-
,Тонкая грань,,Адаптивный меч,Град ударов - Защищайся!/В окружении,-
,Холодный отказ,,Усиленная импульсная винтовка,Питающая ярость - Магазин для множественных убийств/Рубака,Убийственный вихрь - Магазин для множественных убийств
,Шепчущий камень,,Облегченный лук,Убийственный вихрь/Реакция лучника/Эргономичная рукоятка - Диверсант/Рубака/Стрижающее оружие,Убийственный вихрь/Эргономичная рукоятка - Первый выстрел
,Лживые обещания,,Усиленный автомат,Переполнение/Питающая ярость/Жизнеобеспечение - Полоса удач/Рубака,Компенсатор раскачки - Полоса удач/Рубака/Постижение дзен
,Пустые слова,,Точная плазменная винтовка,Под давлением/Питающая ярость/Золотой свинец - Стрижающее оружие/В окружении,-
,Лезвие гильотины,,Вихревой меч,Град ударов - Клинковый вихрь,-
,Крюк искушения,,Магический меч,-,-
,ИКЕЛ_СВ_В1.0.2,,Скорострельная снайперская винтовка,С четвертого раза получится - Усиленные резервы,Движущаяся цель - Усиленные резервы
,ИКЕЛ_ПП_В1.0.2,,Агрессивный пистолет-пулемет,Датчик угроз - Диверсант/В окружении,Компенсатор раскачки - Палец на спуске
,В обратном порядке,,Точечный дробовик,Кобура с автоподзарядом - Стрижающее оружие,-
,Воспоминания Беренгера,,Скорострельный силовой гранатомет,Обойма-сюрприз/Тактическая подготовка - Кобура с автоподзарядом/Щитовая дезориентация,-
,Дьявольская натура,,Точный револьвер,-,-
,Дозор,,Облегченная винтовка разведчика,Быстрый удар - Фугасный снаряд/Магазин для множественных убийств/Полоса удач/Диверсант,Быстрый удар - Фугасный снаряд
,Гнетущий голод,,Адаптивный автомат,Постижение дзен/Жизнеобеспечение - Полоса удач/Рубака/Магазин для множественных убийств/Диверсант,Постижение дзен/Палец на спуске - Киллерский магазин
,Тяготы и невзгоды,,Агрессивный дробовик,-,Датчик угроз/Датчик пульса/Стрельба в скольжении - Быстрый прицел
,Одиночество,,Точный пистолет,Быстрый удар/Система автоспуска/Изгой - Магазин для множественных убийств/Полоса удач/Диверсант,Быстрый удар/Система автоспуска - Киллерский магазин
,Длинная тень,,Адаптивная снайперская винтовка,Быстрый удар/Тактическая подготовка - Тройной выстрел,Быстрый прицел - Движущаяся цель
,Укус мышьяка-4b,,Облегченный лук,Полоса удач/Стрекоза/Эргономичная рукоятка - Взрывной наконечник/Реакция лучника,-
,Последняя погибель,,Адаптивная импульсная винтовка,Изгой - Полоса удач,Дальномер - Киллерский магазин/Система автоспуска
,Исполнитель желаний,,Скорострельный дробовик,-,Стрельба в скольжении - Быстрый прицел/Первый выстрел
,Последний танец,,Адаптивный пистолет,-,Система автоспуска/Движущаяся цель - Киллерский магазин/Постижение дзен/Дальномер
,Возмутительная удача,,Скорострельный силовой гранатомет,Кобура с автоподзарядом/Тактическая подготовка - Быстрое извлечение/Честолюбивый ассасин/Восстановление,-
,Дурные знамения,,Агрессивная ракетная установка,Кобура с автоподзарядом/Модуль слежения - Кассетная бомба,-
,Стальная Сибил Z-14,,Адаптивный меч,Град ударов - Клинковый вихрь,-
,Глаголящий истину,,Облегченный гранатомет,Кобура с автоподзарядом/Тактическая подготовка - Диверсант/Рубака,Кобура с автоподзарядом - Быстрое извлечение/Дестабилизатор
,Тарантула,,Точная линейно-плазменная винтовка,Тактическая подготовка - Размеренное дыхание,Движущаяся цель - Быстрый прицел/Источник/Стрекоза
,Вечные тайны,,Облегченная винтовка разведчика,Быстрый удар/Переполнение - Один за всех/Молотьба,Быстрый удар - Киллерский магазин
,Ретрофутурист,,Облегченный дробовик,-,Быстрое извлечение - Рубака/Молотьба
,Декартовы координаты,,Скорострельная плазменная винтовка,Под давлением/Питающая ярость/Золотой свинец - Стрижающее оружие/Усиленные резервы,Под давлением - Усиленные резервы/Молотьба
,Сноситель корон,,Агрессивный меч,Град ударов - Клинковый вихрь/Стрижающее оружие,-
,Острый клык,,Облегченный меч,Град ударов/Молотьба - Клинок ассасина/Защищайся!/Один за всех,-
,Хрупкая кромка,,Вихревой меч,Град ударов/Молотьба - Любой перк,-
,Число,,Точный автомат,-,Убийственный вихрь/Излишки - Магазин для множественных убийств
,Корректор плеяд,,Облегченная винтовка разведчика,Изгой/Жизнеобеспечение - Магазин для множественных убийств/Источник/Диверсант,-
,Богоубийца,,Скорострельный дробовик,Излишки/Мародер/Золотой свинец - Стрижающее оружие/Двойной удар/Диверсант,-
,Видение,,Адаптивный пистолет Omolon,Система автоспуска/Излишки - Рубака/Один за всех,Система автоспуска/Убийственный вихрь - Киллерский магазин/Рубака
,Случайная переменная,,Облегченный пистолет-пулемет,Питающая ярость - Магазин для множественных убийств/Источник,Постижение дзен/Убийственный вихрь - Магазин для множественных убийств/Стихийный конденсатор
,Запертые воспоминания,,Адаптивный силовой гранатомет,Кобура с автоподзарядом/Обойма-сюрприз - Цепная реакция/Источник,Усилитель импульса - Цепная реакция
,Укус вдовы,,Скорострельная снайперская винтовка,-,-
,Гадюка,,Облегченный пистолет-пулемет,Питающая ярость/Жизнеобеспечение - Стрекоза,Компенсатор раскачки - Движущаяся цель/Дальномер/Глаз бури
,Негативное пространство,,Адаптивный меч,Град ударов - Клинковый вихрь,-
,Каталажка,,Адаптивная ракетная установка,-,-
,ИКЕЛ_Р_В1.0.2,,Точный револьвер,Тройной выстрел/Жизнеобеспечение - Полоса удач,-
,ИКЕЛ_Д_В1.0.2,,Скорострельный дробовик,Датчик угроз - Траншейный ствол/Стрижающее оружие,-
,Скэтлок,,Адаптивный автомат,Жизнеобеспечение/Излишки - Полоса удач/Магазин для множественных убийств/Жажда адреналина/Осмос,Разогрев/Туннельное зрение/Излишки - Глаз бури/Магазин для множественных убйиств/Полоса удач
,Иск II,,Усиленная импульсная винтовка,Питающая ярость/Излишки - Полоса удач/Жажда адреналина/Безумие/Источник,Разогрев/Убийственный вихрь/Движущаяся цель/Излишки - Полоса удач/Источник/Молотьба
,Спойлер,,Облегченный пистолет,Питающая ярость/Излишки - Рубака/Безумие/Диверсант,Убийственный вихрь/Туннельное зрение/Излишки - Рубака
,Дозор пастуха,,Адаптивная снайперская винтовка,Золотой свинец/Изгой - Линия огня/Безумие,Движущаяся цель/Концентрация - Быстрый прицел/Первый выстрел
,Ежегодный каток,,Адаптивный револьвер,Изгой - Рубака/Магазин для множественных убийств/Стрекоза/Задержка взрыва,Туннельное зрение/Излишки - Первый выстрел/Рубака/Магазин для множественных убийств/Источник
