Иконка,Название,Тип урона,Тип оружия и рама,Ролл в PvE,,Ролл в PvP,
,,,,Первый перк,Второй перк,Первый перк,Второй перк
ПОСЛЕДНЕЕ ЖЕЛАНИЕ,,,,,,,
,Народ зверей,,Адаптивный револьвер,"Стрекоза
Не подходить
Вечное движение","Электрозаряд
Фугасный снаряд
Идеальный треугольник","Не подходить
Первый выстрел
Вечное движение","Фугасный снаряд
Киллерский магазин"
,Превосходство,,Скорострельная снайперская винтовка,"Запас патронов
Золотой свинец","Кинетическая дрожь
Смертоносная приманка
С четвертого раза получится","Быстрый прицел
Не подходить","Первый выстрел
Кинетическая дрожь
Стихийный конденсатор"
,Нерушимая связь,,Усиленный автомат,"Отталкивающая связь
Стрекоза","Дестабилизирующие патроны
Идеальный треугольник","Палец на спуске
Компенсатор раскачки","Киллерский магазин
Идеальный треугольник"
,Стук костей,,Облегченная импульсная винтовка,"Киллерский магазин
Быстрый удар
Не подходить","Полоса удач
Кинетическая дрожь","Киллерский магазин
Не подходить
Быстрый удар","Головорез
Стихийный конденсатор"
,Перевоплощение,,Усиленная винтовка разведчика,"Полоса удач
Диверсант
Не подходить","Киллерский магазин
Фугасный снаряд 
Кинетическая дрожь","Полоса удач
Не подходить
Быстрый удар","Киллерский магазин
Движущаяся цель
Фугасный снаряд"
,Техноведьмы,,Адаптивная плазменная винтовка,"Завистливый ассасин
Запас патронов
Восстановление","Контролируемая очередь
Усиленные резервы",Под давлением,"Усиленные резервы
Дальномер
Стартовый импульс"
,Тирания небес,,Облегченный лук,"Стрекоза
Взрывной наконечник
Источник","Раскаленность
Идеальный треугольник",-,
,Главный хищник,,Адаптивная ракетная установка,Восстановление,Смертоносная приманка,-,
,,,,,,,
САД СПАСЕНИЯ,,,,,,,
,Накопленное искупление,,Точный лук,Реакция лучника,"Взрывной наконечник
Быстрый удар","Реакция лучника
Дальномер","Быстрый удар
Движущаяся цель"
,Награда изувера,,Скорострельная плазменная винтовка,"Щитовая дезориентация
Питающая ярость","Дестабилизатор
Полоса удач",Под давлением,Усиленные резервы
,Безрассудный оракул,,Скорострельный автомат,Изгой,"Рубака
Киллерский магазин",Под давлением,Киллерский магазин
,Пророк Страшного суда,,Точный дробовик,Стремительный уход,Двойной удар,"Стремительный уход
Система автоспуска",Первый выстрел
,Священный источник,,Агрессивная импульсная винтовка,"Изгой
Быстрый удар",Киллерский магазин,"Быстрый удар
Дальномер","Головорез
Киллерский магазин"
,Древняя проповедь,,Адаптивный револьвер,"Изгой
Быстрый удар","Рубака
Стрекоза","Стрельба в скольжении
Глаз бури
Быстрый удар","Киллерский магазин
Дальномер"
