Иконка,Название,Тип урона,Тип оружия и рама,Ролл в PvE,,Ролл в PvP,
,,,,Первый перк,Второй перк,Первый перк,Второй перк
ГЛАС ВО ТЬМЕ,,,,,,,
,Мертвый посланник,,Волновой гранатомет,"Диверсант
Неумолимость",-,Диверсант,-
,Клубок мыслей,,Скорострельная импульсная винтовка,"Переполнение
Вечное движение","Жажда адреналина
Стрижающее оружие","Вечное движение
Разогрев","Движущаяся цель
Стихийный конденсатор
Жажда адреналина"
,Под кожей,,Точный лук,Реакция лучника,"Стрекоза
Успешный прогрев
Взрывной наконечник",Реакция лучника,Успешный прогрев
,Взрывной темперамент,,Волновой гранатомет,Кобура с автоподзарядом,"Один за всех
Безумие",Кобура с автоподзарядом,Дестабилизатор
,Повторяющийся удар,,Скорострельный пулемет,"Жизнеобеспечение
Характеристики для всех","Один за всех
Надгробие",-,
,Сладкая горечь,,Скорострельный автомат,Характеристики для всех,Один за всех,"Убийственный вихрь
Вечное движение",Палец на спуске
,Безмыслие,,Адаптивная снайперская винтовка,Переполнение,"Линия огня
Сосредоточенная ярость","Устойчивая изготовка
Вечное движение","Быстрый прицел
Надгробие"
,,,,,,,
ПРЕДВЕСТИЕ,,,,,,,
,История мертвеца,,Агрессивная винтовка разведчика,"Стрижающее оружие
С четвертого раза получится",-,"Движущаяся цель
Убийственный вихрь",-
,Слезы раскаяния,,Точная винтовка разведчика,Тройной выстрел,Фугасный снаряд,-,
,Боязнь огня,,Точный автомат,-,,"Хрупкая концентрация
Мастер на все руки","Адажио
Стихийный конденсатор"
,Шепот Незарека,,Адаптивная глефа,"Диверсант
Усилитель импульса","Безумие
Неодолимая сила",Усилитель импульса,Неодолимая сила
,Без зазрения совести,,Облегченный дробовик,-,,Датчик угроз,"Хрупкая концентрация
Стихийный конденсатор"
,Грохот в ночи,,Агрессивная ракетная установка,"Кобура с автоподзарядом
Диверсант","Стрижающее оружие
Безумие",Модуль слежения,Цепная реакция
,Неискреннее отрицание,,Адаптивная лучевая винтовка,"Адаптивные боеприпасы
Золотой свинец","Отталкивающая связь
Смертельная серия
Рубака",-,
,Сокольничий,,Адаптивный револьвер,Изгой,"Полоса удач
Безумие
Диверсант","Глаз бури
Атака с воздуха","Первый выстрел
Постижение дзен
Дальномер"
,Натиск (Baroque),,Адаптивный пистолет,Источник,"Раскаленность
Полоса удач
Рубака","Движущаяся цель
Глаз бури","Постижение дзен
Рубака
Полоса удач"
,Мини-инструмент КАЛУС,,Облегченный пистолет-пулемет,"Датчик угроз
Неумолимость
Мародер","Раскаленность
В окружении",-,
,Любимый,,Адаптивная снайперская винтовка,-,,Быстрый прицел,"Движущаяся цель
Размеренное дыхание"
,,,,,,,
"ОПЕРАЦИЯ ""ЩИТ СЕРАФИМА""",,,,,,,
,Нулевая ревизия,,Импульсная винтовка со сменой режима стрельбы,Стрижающее оружие,С четвертого раза получится,Движущаяся цель,Под давлением
,Неравенство,,Агрессивная импульсная винтовка,"Быстрый удар
Изгой
Кулачный бой","Надгробие
Один за всех
Безумие","Быстрый удар
Движущаяся цель
Разогрев","Головорез
Киллерский магазин
Надгробие"
,Канарейка в шахте,,Облегченный лук,Стрекоза,"Взрывной наконечник
Успешный прогрев
Рубака",-,
,Правосудие Келгората,,Агрессивная глефа,"Переполнение
Диверсант","Переход в рукопашную
Раскаленность",-,
,Наименьшее сопротивление,,Адаптивная лучевая винтовка,"Стреляй-подбирай
Тройной выстрел","Один за всех
Электрозаряд",-,
,Ретроэскапада,,Скорострельный пулемет,С четвертого раза получится,Захват цели,-,
,Сжечь и забыть,,Агрессивная линейно-плазменная винтовка,-,,-,
,ИКЕЛ_Р_v1.0.3,,Точный револьвер,Характеристики для всех,"Один за всех
Идеальный треугольник
Безумие",Быстрый удар,Идеальный треугольник
,ИКЕЛ_Д_v1.0.3,,Скорострельный дробовик,"Мародер
Жизнеобеспечение","Двойной удар
Траншейный ствол",-,
,ИКЕЛ_СВ_v1.0.3,,Скорострельная снайперская винтовка,"С четвертого раза получится
Переполнение","Сосредоточенная ярость
Усиленные резервы",-,
,ИКЕЛ_ПП_v1.0.3,,Агрессивный пистолет-пулемет,"Питающая ярость
Датчик угроз","Электрозаряд
Безумие
В окружении","Компенсатор раскачки
Убийственный вихрь
Вечное движение","Палец на спуске 
Дальномер"
