Иконка,Название,Тип урона,Тип оружия и рама,Ролл в PvE,,Ролл в PvP,
,,,,Первый перк,Второй перк,Первый перк,Второй перк
"ЭПИЗОД ""НЕУПОКОЕННЫЙ""",,,,,,,
,Литургия,,Двойной гранатомет,"Стремительный уход
Завистливый арсенал",Леденящее попадание,-,
,Линька,,Агрессивный револьвер,"Морозная кража
Не подходить","Надгробие
Безумие
Фугасный снаряд","Одинокий волк
Не подходить
На бис","Точный инструмент
Фугасный снаряд
Отчаянные меры"
,Точка обзора,,Адаптивная импульсная винтовка,"Не подходить
Вихревое течение
Характеристики для всех","Шокирующая отдача
Сорвиголова","Одинокий волк
Не подходить","Головорез
Сорвиголова"
,Неприступность,,Точный пистолет,"Диверсант
Отталкивающая связь","Дестабилизирующие боеприпасы
Отчаянные меры","Одинокий волк
Датчик угроз","Отчаянные меры
Гармония"
,Суверенность,,Адаптивная снайперская винтовка,"Диверсант
Фугасный снаряд","Губительный взор
Точный инструмент
Линия огня",Концентрация,Размеренное дыхание
,Горькая сладость,,Адаптивный гранатомет,Завистливый арсенал,"Смертоносная приманка
Взрывной Свет
Быстрая стрельба",-,
,,,,,,,
ПРОШЛЫЕ СЕЗОНЫ/ЭПИЗОДЫ,,,,,,,
"СЕЗОН ""БЕССМЕРТИЕ""",,,,,,,
,Императив,,Усиленная винтовка разведчика,"Диверсант
Тройной выстрел
Быстрый удар","Фгуасный снаряд
Кинетическая дрожь
Жажда адреналина","Не подходить
Быстрый удар",Жажда адреналина
,Оптатив,,Точный револьвер,"Диверсант
Отталкивающая связь
Не подходить","Идеальный треугольник
Киллерский магазин
Источник","Не подходить
Быстрый удар","Киллерский магазин
Идеальный треугольник
Постижение дзен"
,Адгортатив,,Адаптивная импульсная винтовка,"Исцеляющий магазин
Стреляй-подбирай
Питающая ярость","Раскаленность
Идеальный треугольник","Исцеляющий магазин
Атака с воздуха","Головорез
Идеальный треугольник
Движущаяся цель"
,Субъюнктив,,Скорострельный пистолет-пулемет,"Характеристики для всех
Датчик угроз
Жизнеобеспечение","Электрозаряд
Один за всех
Идеальный треугольник",-,
,,,,,,,
"СЕЗОН ""РАССВЕТ""",,,,,,,
,Покровитель гиблых дел,,Облегченная винтовка разведчика,"Стратег
Быстрый удар
Тройной выстрел","Фугасный снаряд
Кинетическая дрожь","Быстрый удар
Через боль","Фугасный снаряд
Точный инструмент"
,Лучик света,,Мощный пистолет,"Диверсант
Кулачный бой
Разрезание","Детеныш
Жажда адреналина
Рубака","Вечное движение
Датчик угроз","Рубака
Отчаянные меры"
,Возмездие мученника,,Волновой гранатомет,"Исцеляющий магазин
Диверсант
Кобура с автоподзарядом","Раскаленность
Киллерский магазин
Стратег",-,
,Линия на песке,,Точная линейно-плазменная винтовка,"Обойма-сюрприз
Деконструкция
Диверсант","Смертоносная приманка
Линия огня",Движущаяся цель,Первый выстрел
,Идеальный парадокс,,Скорострельный дробовик,"Устранитель угроз
Датчик угроз
Тактическая подготовка","Двойной удар
Траншейный ствол",-,
,,,,,,,
"СЕЗОН ""СПЛАЙСЕР""",,,,,,,
,Код зажигания,,Облегченный гранатомет,"Стрельба в скольжении
Золотой свинец","Стрижающее оружие
Высокая точка
Безумие",-,
,Полихромная лихорадка,,Скорострельный автомат,Жизнеобеспечение,"Кинетическая дрожь
Безумие","Компенсатор раскачки
Убийственный вихрь
Разогрев","Киллерский магазин
Палец на спуске"
,Сказ пилигрима,,Точечный дробовик,"Кобура с автоподзарядом
Раздор","Точный инструмент
Рубака
Раскаленность","Движущаяся цель
Быстрое извлечение
Раздор","Первый выстрел
Рубака"
,Цифровой шкипер,,Скорострельная импульсная винтовка,"Отталкивающая связь
Диверсант","Дестабилизирующие боеприпасы
Безумие","Постижение дзен
Убийственный вихрь
Вечное движение","Головорез
Отчаянные меры
Стихийный конденсатор"
,,,,,,,
"СЕЗОН ""ДОБЫЧА""",,,,,,,
,Запятнанное мужество,,Облегченная винтовка разведчика,Диверсант,"Электрозаряд
Фугасный снаряд",-,
,Закон разбойника,,Скорострельный пистолет,"Питающая ярость
Кулачный бой
Датчик угроз","Электрозаряд
Диверсант
Рубака","Вечное движение
Убийственный вихрь","Рубака
Дальномер"
,Немедленный приговор,,Точечный дробовик,"Тройной выстрел
Изгой","Сосредоточенная ярость
Надгробие",Излишки,Надгробие
,Кровавая вражда,,Агрессивный пистолет-пулемет,-,,-,
,Подзорная труба,,Точная линейно-плазменная винтовка,"Обойма-сюрприз
Быстрый удар","Безумие
Стрижающее оружие
Сосредоточенная ярость",Движущаяся цель,Разогрев
,Окаянная Планка,,Скорострельный пулемет,-,,-,
,,,,,,,
"СЕЗОН ""СОПРОТИВЛЕНИЕ""",,,,,,,
,Вечный цикл,,Адаптивный автомат,Не подходить,"Идеальный треугольник
Детеныш","Не подходить
Постижение дзен
Убийственный вихрь",Идеальный треугольник
,Умелый рассказчик,,Точный лук,"Реакция лучника
Стреляй-подбирай","Надгробие
Успешный прогрев",Реакция лучника,"Успешный прогрев
Надгробие"
,Королевский палач,,Адаптивная плазменная винтовка,Завистливый ассасин,"Заряженный залп
Успешный прогрев",Устойчивая изготовка,"Убийственный вихрь
Успешный прогрев"
,Блудное дитя,,Облегченный гранатомет,"Завистливый ассасин
Золотой свинец",Диверсант,-,
,Владыка,,Адаптивный гранатомет,"Завистливый ассасин
Кобура с автоподзарядом","Взрывной Свет
Быстрая стрельба",-,
,Хранитель,,Адаптивный меч,-,,-,
,,,,,,,
"СЕЗОН ""ГЛУБИНЫ""",,,,,,,
,Зверский аппетит,,Агрессивный пистолет-пулемет,Вечное движение,"Надгробие
Один за всех 
Безумие","Мастер на все руки
На бис
Вечное движение","Захват цели
Надгробие
Гармония"
,Другие времена,,Скорострельная импульсная винтовка,"Изгой
Характеристики для всех
Жизнеобеспечение","Детеныш
Идеальный треугольник","Движущаяся цель
Разогрев","Головорез
Идеальный треугольник"
,Далекое притяжение,,Скорострельная снайперская винтовка,-,,Не подходить,Первый выстрел
,Ожидание возвращения,,Скорострельный дробовик,"Переполнение
Кобура с автоподзарядом","Быстрая стрельба
Стрижающее оружие
Траншейный ствол",-,
,Целевое сокращение,,Агрессивный револьвер,Изгой,"Фугасный снаряд
Дестабилизирующие боеприпасы","Мастер на все руки
Изгой","Не подходить
Гармония
Фугасный снаряд"
,Кромка пропасти,,Вихревой меч,Град ударов,Общий сбор,-,
,,,,,,,
"СЕЗОН ""КОЛДОВСТВО""",,,,,,,
,Твердая уверенность,,Адаптивный револьвер,Характеристики для всех,Магазин для множественных убийств,"Убийственный вихрь
Быстрое извлечение",Глаз бури
,Элейский принцип,,Скорострельный пулемет,-,,-,
,Любовь Бриа,,Точная винтовка разведчика,"Стреляй-подбирай
Не подходить",Фугасный снаряд,Не подходить,"Идеальный треугольник
Адажио"
,Слово произнесенное,,Адаптивная снайперская винтовка,Переполнение,"Линия огня
Высокая точка","Не подходить
Излишки",Первый выстрел
,Семиотик,,Усиленная ракетная установка,"Усилитель импульса
Тактическая подготовка",Взрывной Свет,-,
,Затворник,,Усиленная плазменная винтовка,"Завистливый ассасин
Золотой свинец","Контролирумая очередь
Заряженный залп",Самая быстрая рука,"Стихийный конденсатор
Идеальный треугольник"
,,,,,,,
"СЕЗОН ""ЖЕЛАНИЕ""",,,,,,,
,Искаженный сигнал,,Скорострельная плазменная винтовка,"Разрезание
Переполнение
Просветленное действие","Контролируемая очередь
Детеныш
Деконструкция","Излишки
Вечное движение","Сквозь щит
Стартовый импульс
Адажио"
,Сверхскопление,,Точечный дробовик,"С четвертого раза получится
Восстановление
Разрезание","Быстрая стрельба
Стрижающее оружие
В окружении","Датчик угроз
Стрельба в скольжении",Хрупкая концентрация 
,Влечение,,Адаптивная лучевая винтовка,"Диверсант
Переполнение
Обойма-сюрприз","Надгробие
Смертельная серия
Высокая точка","Стремительный уход
Переполнение","Высокая точка
Смертельная серия"
,Летофобия,,Облегченный лук,"Успешный прогрев
Отталкивающая связь","Взрывной наконечник
Идеальный треугольник","Успешный прогрев
Усилитель импульса",Дестабилизатор
,Скалярный потенциал,,Скорострельная импульсная винтовка,"Просветленное действие
Переполнение
Не подходить","Идеальный треугольник
Высокая точка
Сферы истощения","Не подходить
Переполнение","Головорез
Идеальный треугольник"
,Обреченный проситель,,Адаптивная линейно-плазменная винтовка,"Завистливый ассасин
Восстановление","Точный инструмент
Деконструкция
Высокая точка","Не подходить
Дестабилизирующие боеприпасы",Движущаяся цель
,,,,,,,
"ЭПИЗОД ""ЭХО""",,,,,,,
,Завуалированная угроза,,Скорострельный автомат,"Стреляй-подбирай
Стратег
Сферы истощения","Надгробие
Отчаянные меры","Хрупкая концентрация
Стратег","Движущаяся цель
На бис"
,Измученный путник,,Агрессивная винтовка разведчика,"Исцеляющий магазин
Стреляй-подбирай","Раскаленность
Высокая точка","Не подходить
Через боль",Высокая точка
,Прицельный осмотр,,Точный револьвер,"Стратег 
Не подходить",Электрозаряд,"Не подходить
Хрупкая концентрация","Киллерский магазин
На бис
Глаз бури"
,Потерянный сигнал,,"Гранатомет ""Огонь на воспрещение""","Кобура с автоподзарядом
Золотой свинец",Диверсант,-,
,Дурной знак,,Магический меч,Град ударов,Холодная сталь,-,
,Хранитель веры,,Точная ракетная установка,"Кобура с автоподзарядкой
Тактическая подготовка
Обойма-сюрприз","Взрывной Свет
Сошки
Диверсант",Усилитель импульса,Дестабилизирующие боеприпасы
,Девиантное поведение,,Ракетный пистолет,"Исцеляющий магазин
Стратег
Кулачный бой","Раскаленность
Диверсант",-,
